Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,,,,,,,,,
8/29/08,Abdul Aziz Shaheen,Male,Pakistan,Azadi ,Pakistan,Print,Print Reporter,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No",,,,,,,,,
8/31/08,Magomed Yevloyev,Male,Russia,Ingushetiya,Russia,Internet,Publisher,"Corruption, Human Rights, Politics, War",No,Local,Government Officials,Murder,Yes,Yes,Yes,"No",,,,,,,,,
9/2/08,Telman (Abdulla) Alishayev,Male,Russia,TV-Chirkei ,Russia,Television,Columnist,Culture,No,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
9/13/08,Musab Mahmood al-Ezawi,Male,Iraq,Al-Sharqiya ,Iraq,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,Yes,No,"No",,,,,,,,,
9/13/08,Ahmed Salim,Male,Iraq,Al-Sharqiya ,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Murder,Yes,Yes,No,"No",,,,,,,,,
9/13/08,Ihab Mu'd,Male,Iraq,Al-Sharqiya ,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Murder,Yes,Yes,No,"No",,,,,,,,,
9/13/08,Qaydar Sulaiman,,Iraq,Al-Sharqiya ,,,,,,,,,,,,"",,,,,,,,,
9/24/08,Alejandro Zen—n Fonseca Estrada,Male,Mexico,EXA FM ,Mexico,Radio,Columnist,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No",,,,,,,,,
9/27/08,Jaruek Rangcharoen,Male,Thailand,Matichon,Thailand,Print,Print Reporter,Corruption,No,Local,Political Group,Murder,Yes,No,No,"No",,,,,,,,,
10/6/08,Rashmi Mohamed,Male,Sri Lanka,Sirasa TV ,Sri Lanka,Television,Broadcast,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
10/8/08,Jagat Prasad Joshi,,Nepal,Janadisha,,,,,,,,,,,,"",,,,,,,,,
10/10/08,Miguel Angel Villag—mez Valle,,Mexico, La Noticia de Michoac‡n,Mexico,,,,,,,,,,,"",,,,,,,,,
10/10/08,Dyar Abas Ahmed,,Iraq,Eye Iraq ,,,,,,,,,,,,"",,,,,,,,,
10/16/08,Eiphraim Audu,,Nigeria,Nasarawa State Broadcasting Service,Nigeria,,,,,,,,,,,"",,,,,,,,,
10/22/08,Abel Gir—n Morales,,Guatemala,El Peri—dico,,,,,,,,,,,,"",,,,,,,,,
10/23/08,Ivo Pukanic,Male,Croatia,Nacional,Croatia,Print,Publisher,"Corruption, Crime, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No",,,,,,,,,
10/23/08,Niko Franjic,,Croatia,Nacional,,,,,,,,,,,,"",,,,,,,,,
11/3/08,Abdul Razzak Johra,Male,Pakistan,Royal TV,Pakistan,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No",,,,,,,,,
11/13/08,Jos_ Armando Rodr’guez Carre—n,Male,Mexico,El Diario de Ciudad Ju‡rez,Mexico,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Partial,No,Yes,"No",,,,,,,,,
11/17/08,Arecio Padrigao,,Philippines,DXRS,,,,,,,,,,,,"",,,,,,,,,
11/20/08,Jagjit Saikia,,India,Amar Asom,,,,,,,,,,,,"",,,,,,,,,
11/21/08,Didace Namujimbo,,Democratic Republic of the Congo,Radio Okapi,,,,,,,,,,,,"",,,,,,,,,
11/25/08,Vikas Ranjan,Male,India,Hindustan,India,Print,Print Reporter,Corruption,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No",,,,,,,,,
12/2/08,Leo Mila,,Philippines,Radyo Natin,,,,,,,,,,,,"",,,,,,,,,
Jan-09,Francis Nyaruri,Male,Kenya,Weekly Citizen,Kenyan,Radio,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,Yes,Yes,"Yes",,,,,,,,,
1/1/09,Hassan Mayow Hassan,Male,Somalia,Radio Shabelle,Somalia,Radio,Broadcast,"Human Rights, War",No,Local,Military Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
1/4/09,Tahir Awan,Male,Pakistan,freelance,Pakistan,Print,Print Reporter,War,Yes,Local,Political Group,Dangerous Assignment,,,,"",,,,,,,,,
1/4/09,Mohammad Imran,Male,Pakistan,Express TV,Pakistan,Television,Camera Operator,War,No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
1/5/09,Shafig Amrakhov,,Russia,RIA 51,,,,,,,,,,,,"",,,,,,,,,
1/7/09,Basil Ibrahim Faraj,Male,Israel and the Occupied Palestinian Territory,Palestinian Media and Communication Company,Palestinian,Television,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
1/8/09,Lasantha Wickramatunga,Male,Sri Lanka,The Sunday Leader,Sri Lanka,Print,Editor,"Human Rights, Politics, War",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
1/11/09,Uma Singh,Female,Nepal,"Janakpur Today, Radio Today ",Nepal,"Print, Radio",Broadcast,"Human Rights, Politics",No,Local,Political Group,Murder,No,No,Yes,"No",,,,,,,,,
1/16/09,Orel Sambrano,Male,Venezuela,ABC de la Semana and Radio Am_rica,Venezuela,"Print, Radio",Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Partial,No,No,"No",,,,,,,,,
1/19/09,Anastasiya Baburova,Female,Russia,Novaya Gazeta ,Russian/Ukrainian,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Murder,No,No,No,"No",,,,,,,,,
1/22/09,Badrodin Abbas,,Philippines,DXCM,,,,,,,,,,,,"",,,,,,,,,
2/2/09,Said Tahlil Ahmed,Male,Somalia,HornAfrik,Somalia,Radio,Publisher,"Human Rights, War",No,Local,Political Group,Murder,Partial,No,Yes,"No",,,,,,,,,
2/2/09,Bruno Jacquet Oss_bi,,Republic of Congo,Mwinda,France Congolese,,,,,,,,,,,"",,,,,,,,,
2/7/09,Ando Ratovonirina,Male,Madagascar,Radio T_l_vision Analamanga,Madagascar,Television,"Broadcast, Camera Operator",Politics,No,Local,Military Officials,Dangerous Assignment,,,,"",,,,,,,,,
2/11/09,Anak Agung Prabangsa,Male,Indonesia,Radar Bali,Indonesian,Print,Print Reporter,"Corruption, Politics",No,Local,Government Officials,Murder,No,Yes,Yes,"Yes",,,,,,,,,
2/12/09,Puniyamoorthy Sathiyamoorthy,Male,Sri Lanka,freelance,Sri Lanka,"Radio, Television",Broadcast,"Politics, War",Yes,Local,Government Officials,Dangerous Assignment,,No,No,"No",,,,,,,,,
2/13/09,Jean Paul Ibarra Ram’rez,,Mexico,El Correo,Mexico,,,,,,,,,,,"",,,,,,,,,
2/18/09,Musa Khankhel,Male,Pakistan,Geo TV and The News,Pakistan,"Print, Television","Broadcast, Print Reporter","Politics, War",No,Local,Military Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
2/23/09,Ernie Rollin,Male,Philippines,DXSY Radio,Philippine,Radio,Columnist,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No",,,,,,,,,
3/10/09,Suhaib Adnan,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Camera Operator,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
3/10/09,Haidar Hashim Suhail,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
3/11/09,Jawed Ahmad,,Afghanistan,freelance ,,,,,,,,,,,,"",,,,,,,,,
3/18/09,Omidreza Mirsayafi,Male,Iran,Rooznegar,Iran,Internet,Internet Reporter,"Culture, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,"",,,,,,,,,
3/24/09,Anil Mazumdar,Male,India,Aji,Indian ,Print,Editor,"Business, Corruption, Crime, Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No",,,,,,,,,
3/26/09,Raja Assad Hameed,,Pakistan,"The Nation, Waqt TV",,,,,,,,,,,,"",,,,,,,,,
3/31/09,Rafael Mungu’a Ortiz,,Honduras,Radio Cadena Voces,,,,,,,,,,,,"",,,,,,,,,
4/1/09,Rolando Santiz,,Guatemala,Telecentro 13,,,,,,,,,,,,"",,,,,,,,,
4/16/09,Wasi Ahmad Qureshi,,Pakistan,"Daily Azadi, Balochistan Express",Pakistani,,,,,,,,,,,"",,,,,,,,,
4/29/09,Jos_ Everardo Aguilar,Male,Colombia,Radio Sœper and Bol’var Est_reo,Colombian,Radio,Broadcast,Corruption,No,Local,Paramilitary Group,Murder,Yes,No,Yes,"",,,,,,,,,
5/3/09,Carlos Ortega Samper,,Mexico,El Tiempo de Durango ,Mexico,,,,,,,,,,,"",,,,,,,,,
5/22/09,Abdirisak Mohamed Warsame,Male,Somalia,Radio Shabelle,Somalia,Radio,Producer,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
5/25/09,Eliseo Barr—n Hern‡ndez,Male,Mexico,La Opini—n,Mexico,Print,"Photographer, Print Reporter",Crime,No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes",,,,,,,,,
5/26/09,Nur Muse Hussein,Male,Somalia,Radio IQK,Somalia,Radio,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
5/31/09,Alaa Abdel-Wahab,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Broadcast,Sports,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
6/3/09,Jojo Trajano,Male,Philippines,Remate ,Philippines,Print,Print Reporter,Crime,No,Local,Criminal Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
6/6/09,Marco Antonio Estrada,,Guatemala,Tele Diario,,,,,,,,,,,,"",,,,,,,,,
6/8/09,Mukhtar Mohamed Hirabe,Male,Somalia,Radio Shabelle,Somalia,Radio,Editor,Politics,No,Local,Political Group,Murder,Partial,No,No,"No",,,,,,,,,
6/9/09,Crispin Perez,Male,Philippines,DWDO Radio,Philippine,Radio,Columnist,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
6/29/09,Vyacheslav Yaroshenko,,Russia,Korruptsiya i Prestupnost,,,,,,,,,,,,"",,,,,,,,,
7/3/09,Gabriel Fino Noriega,,Honduras,"Estelar Radio, Radio Am_rica, TV Channel 9",,,,,,,,,,,,"",,,,,,,,,
7/4/09,Mohamud Mohamed Yusuf,Male,Somalia,Radio IQK,Somalia,Radio,Broadcast,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
7/15/09,Natalya Estemirova,Female,Russia,"Novaya Gazeta, Kavkazsky Uzel",Russia,Print,Print Reporter,Human Rights,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"",,,,,,,,,
7/27/09,Godofredo Linao,,Philippines,Radyo Natin ,Philippine,,,,,,,,,,,"",,,,,,,,,
7/28/09,Juan Daniel Mart’nez Gil,,Mexico,Radiorama and W Radio ,Mexico,,,,,,,,,,,"",,,,,,,,,
8/11/09,Abdulmalik Akhmedilov,Male,Russia,Hakikat and Sogratl,Russia,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Partial,No,No,"No",,,,,,,,,
8/14/09,Siddique Bacha Khan,,Pakistan,Aaj TV,Pakistani,,,,,,,,,,,"",,,,,,,,,
8/17/09,Novruzali Mamedov,Male,Azerbaijan,Talyshi Sado,Azerbaijan,Print,Editor,Culture,No,Local,Government Officials,Dangerous Assignment,,,,"",,,,,,,,,
8/23/09,Bruno Koko Chirambiza,,Democratic Republic of the Congo,Radio Star,Congolese,,,,,,,,,,,"",,,,,,,,,
8/24/09,Janullah Hashimzada,Male,Pakistan,freelance,Afghanistan,Television,Broadcast,"Politics, War",Yes,Foreign,Military Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
9/2/09,Christian Gregorio Poveda Ruiz,Male,El Salvador,Freelance,France,Television,Producer,Crime,Yes,Foreign,Criminal Group,Murder,No,No,Yes,"No",,,,,,,,,
9/9/09,Sultan Mohammed Munadi,Male,Afghanistan,The New York Times,Afghanistan,Print,Print Reporter,"Human Rights, War",Yes,Local,Political Group,Dangerous Assignment,,Yes,Yes,"",,,,,,,,,
9/20/09,Bayo Ohu,Male,Nigeria,The Guardian,Nigerian,Print,"Editor, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No",,,,,,,,,
9/22/09,Diego de Jesœs Rojas Vel‡squez,,Colombia,Sup’a TV,Colombia,,,,,,,,,,,"",,,,,,,,,
9/23/09,Norberto Miranda Madrid,Male,Mexico,Radio Visi—n,Mexico,Internet,Internet Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,"No",,,,,,,,,
10/21/09,Orhan Hijran,Male,Iraq,Al-Rasheed,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
11/2/09,Bladimir Antuna Garc’a,Male,Mexico,El Tiempo de Durango,Mexico,Print,Print Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,Yes,"No",,,,,,,,,
11/23/09,Henry Araneta,Male,Philippines,DZRH,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Mark Gilbert Arriola,Male,Philippines,UNTV,Philippine,Television,Camera Operator,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Rubello Bataluna,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Arturo Betia,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Romeo Jimmy Cabillo,Male,Philippines,Midland Review,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Marites Cablitas,Female,Philippines,News Focus and DXDX ,Philippine,"Print, Radio","Broadcast, Print Reporter",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Hannibal Cachuela,Male,Philippines,Punto News,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Jepon Cadagdagon,Male,Philippines,Saksi News ,Philippines,Print,Photographer,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,John Caniban,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Lea Dalmacio,Female,Philippines,Socsargen News,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Noel Decina,Male,Philippines,Periodico Ini,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Gina Dela Cruz,Female,Philippines,Saksi News,Philippine,Print,Print Reporter,Politics,Yes,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Jhoy Duhay,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Jolito Evardo,Male,Philippines,UNTV,Philippine,Television,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Santos Gatchalian,Male,Philippines,DXGO,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Bienvenido Legarte Jr.,Male,Philippines,Prontiera News,Philippine,Print,"Print Reporter, Publisher",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Lindo Lupogan,Male,Philippines,Mindanao Daily Gazette,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Ernesto Maravilla,Male,Philippines,Bombo Radyo,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Rey Merisco,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Reynaldo Momay,Male,Philippines,Midland Review,Philippine,Print,Photographer,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Marife ÒNenengÓ Monta–o,Female,Philippines,Saksi News and DXCI ,Philippine,Radio,"Broadcast, Print Reporter",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Rosell Morales,Male,Philippines,News Focus,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Victor Nu–ez,Male,Philippines,UNTV,Philippine,Television,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Ronnie Perante,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Joel Parcon,Male,Philippines,Prontiera News,Philippine,Print,Publisher,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Fernando Razon,Male,Philippines,Periodico Ini,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Alejandro Reblando,Male,Philippines,Manila Bulletin,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Napoleon Salaysay,Male,Philippines,Mindanao Gazette,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Ian Subang,Male,Philippines,Socsargen Today,Philippine,Print,Publisher,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Andres Teodoro,Male,Philippines,Central Mindanao Inquirer,Philippine,Print,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes",,,,,,,,,
11/23/09,Benjie Adolfo,,Philippines,Gold Star Daily,Philippine,,,,,,,,,,,"",,,,,,,,,
11/23/09,Daniel Tiamson,,Philippines,UNTV,Philippine,,,,,,,,,,,"",,,,,,,,,
11/24/09,Jos_ Emilio Galindo Robles,,Mexico,Radio Universidad de Guadalajara,Mexico,,,,,,,,,,,"",,,,,,,,,
12/3/09,Abdulkhafar Abdulkadir,Male,Somalia,freelance,Somalia,Print,Photographer,"Culture, War",Yes,Local,Political Group,Crossfire/Combat-Related,,,,"",,,,,,,,,
12/3/09,Mohamed Amin,Male,Somalia,Radio Shabelle,Somalia,Radio,Broadcast,"Culture, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"",,,,,,,,,
12/3/09,Hassan Zubeyr,Male,Somalia,Al-Arabiya,Somalia,Television,Camera Operator,"Culture, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"",,,,,,,,,
12/14/09,Jos_ Givonaldo Vieira,,Brazil,Bezerros FM and Folha do Agreste,Brazil,,,,,,,,,,,"",,,,,,,,,
12/15/09,H‡rold Humberto Rivas Quevedo,,Colombia,CNC Bugavisi—n and Voces de Occidente,Colombia,,,,,,,,,,,"",,,,,,,,,
12/19/09,Cihan Hayõrsevener,Male,Turkey,GŸney MarmaraÕda Ya_am,Turkey,Print,"Editor, Publisher",Corruption,No,Local,Criminal Group,Murder,Partial,No,Yes,"No",,,,,,,,,
12/22/09,Gennady Pavlyuk (Ibragim Rustambek),Male,Kazakhstan,Bely Parokhod,Russia,Print,Editor,Corruption,No,Foreign,Government Officials,Murder,Partial,No,No,"No",,,,,,,,,
12/22/09,Mian Iqbal Shah,,Pakistan,Peshawar Press Club,Pakistan,,,,,,,,,,,"",,,,,,,,,
12/22/09,Jos_ Alberto Vel‡zquez L—pez,,Mexico,Expresiones de Tulum,Mexico,,,,,,,,,,,"",,,,,,,,,
12/24/09,Ismael Pasigna,,Philippines,B-96,Philippines,,,,,,,,,,,"",,,,,,,,,
12/30/09,Michelle Lang,Female,Afghanistan,Calgary Herald and Canwest News Service,Canada,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,"",,,,,,,,,
Jan-10,Jos_ Luis Romero,,Mexico,L’nea Directa,Mexico,,,,,,,,,,,"",,,,,,,,,
1/5/10,Bobi Tsankov,,Bulgaria,freelance,Bulgaria,,,,,,,,,,,"",,,,,,,,,
1/8/10,Valent’n Vald_s Espinosa,Male,Mexico,Z—calo de Saltillo,Mexico,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes",,,,,,,,,
1/9/10,Stanislas Ocloo,Male,Angola,T_l_vision Togolaise,Togo,Television,"Broadcast, Columnist",Sports,Yes,Foreign,Political Group,Dangerous Assignment,,,,"",,,,,,,,,
1/10/10,Rupert Hamer,Male,Afghanistan,Sunday Mirror,British,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,"",,,,,,,,,
1/29/10,Jorge Ochoa Mart’nez,,Mexico,El Sol de la Costa,Mexico,,,,,,,,,,,"",,,,,,,,,
2/8/10,Jamim Shah,,Nepal,Channel Nepal and Space Time Network,Nepal,,,,,,,,,,,"",,,,,,,,,
2/13/10,Muhammad al-Rabou'e,Male,Yemen,Al-Qahira,Yemeni,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No",,,,,,,,,
3/1/10,Joseph Hern‡ndez Ochoa,Male,Honduras,TV Channel 51,Honduras,Television,Broadcast,Culture,Yes,Local,Political Group,Murder,Yes,No,No,"No",,,,,,,,,
3/1/10,Arun Singhaniya,,Nepal,Today Group,,,,,,,,,,,,"",,,,,,,,,
3/11/10,David Meza Montesinos,Male,Honduras,"Radio El Patio, Radio America, Channel 45",Honduras,"Radio, Television",Broadcast,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
3/12/10,Evaristo Pacheco Sol’s,,Mexico,Visi—n Informativa,Mexico,,,,,,,,,,,"",,,,,,,,,
3/14/10,Nahœm Palacios Arteaga,Male,Honduras,TV Channel 5,Honduras,Television,Broadcast,"Corruption, Crime, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
3/19/10,Clodomiro Castilla Ospino,Male,Colombia,El Pulso del Tiempo,Colombian,Print,"Editor, Publisher","Corruption, Crime, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No",,,,,,,,,
3/26/10,Manuel Ju‡rez,,Honduras,Radio Super 10  ,Honduras,,,,,,,,,,,"",,,,,,,,,
3/26/10,Jos_ Bayardo Mairena,,Honduras,Exc_lsior,Honduras,,,,,,,,,,,"",,,,,,,,,
4/4/10,Metin Alata_,,Turkey,Azadiya Welat,Turkey,,,,,,,,,,,"",,,,,,,,,
4/5/10,Patient Chebeya,,Democratic Republic of the Congo,freelance,Congolese,,,,,,,,,,,"",,,,,,,,,
4/10/10,Hiro Muramoto,Male,Thailand,Reuters,Japan,"Television, Internet",Camera Operator,Politics,No,Foreign,Unknown Fire,Dangerous Assignment,,,,"",,,,,,,,,
4/16/10,Malik Arif,Male,Pakistan,Samaa TV,Pakistani,Television,Camera Operator,,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/17/10,Azamat Ali Bangash,Male,Pakistan,Samaa TV,Pakistani,Television,"Broadcast, Internet Reporter",,No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
4/20/10,Jorge Alberto Orellana,,Honduras,Televisi—n de Honduras,Honduras,,,,,,,,,,,"",,,,,,,,,
4/22/10,Germain Cyrille Ngota Ngota,Male,Cameroon,Cameroon Express,Cameroon,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Dangerous Assignment,,,,"",,,,,,,,,
4/24/10,Sunday Gyang Bwede,Male,Nigeria,The Light Bearer,Nigeria,Print,Print Reporter,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"",,,,,,,,,
4/24/10,Nathan S. Dabak,Male,Nigeria,The Light Bearer,Nigeria,Print,Editor,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"",,,,,,,,,
4/24/10,Edo Sule Ugbagwu,,Nigeria,The Nation,Nigeria,,,,,,,,,,,"",,,,,,,,,
5/4/10,Sheikh Nur Mohamed Abkey,Male,Somalia,Radio Mogadishu,Somalia,Radio,Producer,"Culture, War",No,Local,Political Group,Murder,Partial,Yes,Yes,"Yes",,,,,,,,,
5/5/10,Sardasht Osman,Male,Iraq,freelance,Iraq,"Print, Internet","Internet Reporter, Print Reporter",Corruption,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"No",,,,,,,,,
5/19/10,Fabio Polenghi,Male,Thailand,freelance,Italy,Print,Photographer,"Culture, War",Yes,Foreign,Unknown Fire,Dangerous Assignment,,,,"",,,,,,,,,
5/28/10,Ejazul Haq,Male,Pakistan,City-42 TV,Pakistan,Television,"Broadcast, Technician",War,No,Local,Unknown Fire,Dangerous Assignment,,,,"",,,,,,,,,
6/14/10,Desidario Camangyan,Male,Philippines,Sunrise FM,Philippine,Radio,Columnist,Corruption,Yes,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
6/14/10,Luis Arturo Mondrag—n,,Honduras,Channel 19,Honduran,,,,,,,,,,,"",,,,,,,,,
6/16/10,Joselito Agustin,Male,Philippines,DZJC,Philippine,Radio,Columnist,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
6/24/10,James P. Hunter,Male,Afghanistan,"Fort Campbell Courier, U.S. military publications",American,Print,"Photographer, Print Reporter",War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
6/26/10,Jean-L_onard Rugambage,Male,Rwanda,Umuvugizi,Rwanda,"Print, Internet","Editor, Internet Reporter, Print Reporter",Politics,No,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,"No",,,,,,,,,
6/28/10,Mar’a Elvira Hern‡ndez Galeana,,Mexico,Nueva L’nea,Mexico,,,,,,,,,,,"",,,,,,,,,
6/28/10,Juan Francisco Rodr’guez R’os,,Mexico,El Sol de Acapulco,Mexico,,,,,,,,,,,"",,,,,,,,,
7/2/10,Hem Chandra Pandey (Hemant Pandey),,India,Freelance,India,,,,,,,,,,,"",,,,,,,,,
7/6/10,Hugo Alfredo Olivera Cartas,,Mexico,"El D’a de Michoac‡n, ADN",Mexico,,,,,,,,,,,"",,,,,,,,,
7/10/10,Marco Aurelio Mart’nez Tijerina,,Mexico,XEDD La Tremenda,Mexican,,,,,,,,,,,"",,,,,,,,,
7/19/10,Sokratis Giolias,Male,Greece,"Thema 98.9, Troktiko",Greece,"Radio, Internet","Broadcast, Internet Reporter",Corruption,No,Local,Political Group,Murder,Yes,No,No,"No",,,,,,,,,
7/20/10,Vijay Pratap Singh,Male,India,Indian Express,India,Print,Print Reporter,"Business, Politics",No,Local,Political Group,Dangerous Assignment,,,,"",,,,,,,,,
